year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Sulser, Cole,642121,R,CH,338,83.9,1588,14.9,0.7879262517228567,0.8245637164137092,137.7619332790484,107.41298505080869,Changeup,82,90,150,30.34894822823972,30.348948228239717,-60,1,30,2,30,1,0,1:30,2:30,-1H 00M
,Price, David,456034,L,CH,295,85.5,1677,16,0.8437816703671992,0.9906325736446038,249.7657098009397,254.76515099933658,Changeup,99,585,570,-4.99944119839688,4.999441198396842,15,9,45,9,30,0,15,9:45,9:30,+0H 15M
,Cease, Dylan,656302,R,CH,213,78.1,1646,16.3,0.8243231405657214,0.8662643870304663,172.61350665485475,152.59906153541,Changeup,87,735,60,20.01444511944476,20.014445119444733,-45,12,15,1,0,0,45,12:15,1:00,-0H 45M
,Floro, Dylan,571670,R,CH,255,86.4,1850,17.6,0.8795622315922395,0.9426009257747321,113.16835062077521,94.04413722979622,Changeup,94,135,165,19.124213390978994,19.124213390978994,-30,2,15,2,45,0,30,2:15,2:45,-0H 30M
,Fedde, Erick,607200,R,CH,213,87.6,1556,15.6,0.8516665777369945,0.8877638155985326,121.44430190580562,91.18130553125279,Changeup,89,120,180,30.262996374552827,30.26299637455285,-60,2,0,3,0,1,0,2:00,3:00,-1H 00M
,Cole, Gerrit,543037,R,CH,418,89.9,1713,18.9,0.9853367876061886,0.9873424504450329,119.59218235311693,118.02613517081954,Changeup,99,120,120,1.5660471822973818,1.5660471822973792,0,2,0,2,0,0,0,2:00,2:00, 0H 00M
,Minaya, Juan,573668,R,CH,240,88.8,1578,13.2,0.736462819273881,0.8441643880259945,114.71507931335263,82.0563611183262,Changeup,84,135,195,32.65871819502644,32.658718195026424,-60,2,15,3,15,1,0,2:15,3:15,-1H 00M
,Akin, Keegan,669211,L,CH,341,81.9,1936,17.4,0.8305590238383965,0.9531927548916218,236.40719027748156,246.98673903276563,Changeup,95,600,585,-10.579548755284065,10.579548755284078,15,10,0,9,45,0,15,10:00,9:45,+0H 15M
,Gibson, Kyle,502043,R,CH,358,84.8,1639,15.5,0.8152818464593196,0.8515124081150962,131.96814272765218,100.65729204196722,Changeup,85,90,165,31.310850685684954,31.31085068568495,-75,1,30,2,45,1,15,1:30,2:45,-1H 15M
,Garcia, Luis,677651,R,CH,274,83.4,1906,19,0.9135883784576244,0.991160621947553,123.13059369317949,116.26513561676776,Changeup,99,120,120,6.865458076411727,6.865458076411718,0,2,0,2,0,0,0,2:00,2:00, 0H 00M
,Weaver, Luke,596133,R,CH,328,85.3,1721,16.5,0.8663083651410827,0.8575661656381203,144.43630369756397,125.79190632515838,Changeup,86,75,105,18.644397372405592,18.644397372405596,-30,1,15,1,45,0,30,1:15,1:45,-0H 30M
,Harvey, Matt,518774,R,CH,264,85.3,1700,18.4,0.9425875437246118,0.9776540980637917,128.91750447251547,123.74916277072589,Changeup,98,105,120,5.168341701789586,5.1683417017895845,-15,1,45,2,0,0,15,1:45,2:00,-0H 15M
